TIME	CPU	WCPU	IO	MEM
20181103-142224	  0	  0	         0	11.50
20181103-142229	  0	  0	        11	11.50
20181103-142234	  0	  0	         0	11.49
20181103-142239	  0	  0	        18	11.49
20181103-142244	  0	  0	         1	11.49
20181103-142249	  0	  0	         8	11.49
20181103-142254	  0	  0	         0	11.50
20181103-142259	  0	  0	        11	11.49
20181103-142304	  0	  0	         0	11.49
20181103-142309	  0	  0	        10	11.49
20181103-142314	  0	  0	         1	11.48
20181103-142319	  0	  0	         8	11.49
20181103-142324	  0	  0	         0	11.49
20181103-142329	  0	  0	        12	11.49
20181103-142334	  0	  0	         0	11.48
20181103-142339	  0	  0	        16	11.48
20181103-142344	  0	  0	         2	11.49
20181103-142349	  0	  0	         8	11.50
20181103-142354	  0	  0	         0	11.49
20181103-142359	  0	  0	        12	11.49
20181103-142404	  0	  0	         0	11.49
20181103-142409	  0	  0	         9	11.49
20181103-142414	  0	  0	         1	11.49
20181103-142419	  0	  0	         8	11.49
20181103-142424	  0	  0	         0	11.49
20181103-142429	  0	  0	        12	11.49
20181103-142434	  0	  0	         0	11.48
20181103-142439	  0	  0	        14	11.48
20181103-142444	  0	  0	         1	11.48
20181103-142449	  0	  0	         8	11.49
20181103-142454	  0	  0	         0	11.54
20181103-142459	  1	  0	        12	11.53
20181103-142504	  0	  0	         0	11.53
20181103-142509	  0	  0	         9	11.53
20181103-142514	  0	  0	         1	11.52
20181103-142519	  0	  0	        10	11.52
20181103-142524	  0	  0	         0	11.53
20181103-142529	  0	  0	        11	11.53
20181103-142534	  0	  0	         0	11.52
20181103-142539	  0	  0	        17	11.51
20181103-142544	  0	  0	         1	11.52
20181103-142549	  0	  0	         8	11.52
20181103-142554	  0	  0	         0	11.52
20181103-142559	  0	  0	        12	11.52
20181103-142604	  0	  0	         0	11.52
20181103-142609	  0	  0	        12	11.52
20181103-142614	  0	  0	         2	11.52
20181103-142619	  0	  0	         8	11.52
20181103-142624	  0	  0	         0	11.52
20181103-142629	  0	  0	        11	11.52
20181103-142634	  0	  0	         0	11.51
20181103-142639	  0	  0	        15	11.52
20181103-142644	  0	  0	         1	11.52
20181103-142649	  0	  0	         8	11.52
20181103-142654	  0	  0	         0	11.52
20181103-142659	  0	  0	        12	11.52
