TIME	LG1	AP2	MB1	MB2	MB3
20181103-140909	10.85	9.07	56.43	59.11	56.30
20181103-140914	10.87	9.06	56.43	59.12	56.30
20181103-140919	10.87	9.06	56.42	59.12	56.29
20181103-140924	11.05	9.07	56.42	59.12	56.30
20181103-140929	11.05	9.06	56.42	59.12	56.29
20181103-140934	11.08	9.06	56.42	59.11	56.29
20181103-140939	11.08	9.06	56.42	59.11	56.29
20181103-140944	11.08	9.06	56.42	59.12	56.30
20181103-140949	11.08	9.06	56.42	59.10	56.29
20181103-140954	11.09	9.07	56.43	59.11	56.29
20181103-140959	11.08	9.07	56.42	59.11	56.29
20181103-141004	11.11	9.06	56.43	59.11	56.29
20181103-141009	11.10	9.06	56.43	59.11	56.29
20181103-141014	11.10	9.06	56.43	59.11	56.29
20181103-141019	11.10	9.07	56.43	59.12	56.29
20181103-141024	11.13	9.06	56.42	59.12	56.30
20181103-141029	11.13	9.06	56.42	59.12	56.29
20181103-141034	11.13	9.06	56.43	59.11	56.29
20181103-141039	11.13	9.06	56.42	59.12	56.29
20181103-141044	11.14	9.06	56.41	59.12	56.29
20181103-141049	11.14	9.06	56.42	59.12	56.29
20181103-141054	11.13	9.07	56.42	59.12	56.29
20181103-141059	11.16	9.06	56.42	59.11	56.30
20181103-141104	11.16	9.07	56.42	59.12	56.30
20181103-141109	11.16	9.06	56.43	59.12	56.30
20181103-141114	11.19	9.07	56.42	59.12	56.30
20181103-141119	11.19	9.07	56.42	59.11	56.30
20181103-141124	11.19	9.06	56.42	59.11	56.30
20181103-141129	11.19	9.07	56.42	59.12	56.30
20181103-141134	11.18	9.07	56.42	59.12	56.30
20181103-141139	11.18	9.07	56.43	59.11	56.29
20181103-141144	11.19	9.07	56.42	59.12	56.30
20181103-141149	11.22	9.07	56.43	59.10	56.29
20181103-141154	11.22	9.07	56.43	59.11	56.30
20181103-141159	11.22	9.06	56.43	59.11	56.29
20181103-141204	11.20	9.07	56.43	59.11	56.30
20181103-141209	11.21	9.07	56.43	59.12	56.29
20181103-141214	11.21	9.07	56.42	59.12	56.29
20181103-141219	11.21	9.07	56.43	59.12	56.29
20181103-141224	11.24	9.06	56.43	59.12	56.29
20181103-141229	11.23	9.07	56.43	59.12	56.29
20181103-141234	11.23	9.07	56.43	59.12	56.29
20181103-141239	11.23	9.07	56.43	59.11	56.28
20181103-141244	11.24	9.07	56.42	59.12	56.29
20181103-141249	11.26	9.06	56.43	59.11	56.28
20181103-141254	11.26	9.07	56.43	59.12	56.29
20181103-141259	11.26	9.07	56.43	59.12	56.29
20181103-141304	11.26	9.07	56.42	59.12	56.28
20181103-141309	11.26	9.06	56.42	59.12	56.28
20181103-141314	11.29	9.07	56.42	59.12	56.29
20181103-141319	11.29	9.06	56.42	59.12	56.30
20181103-141324	11.29	9.07	56.43	59.12	56.29
20181103-141329	11.29	9.07	56.43	59.12	56.29
20181103-141334	11.28	9.07	56.43	59.13	56.28
20181103-141339	11.31	9.06	56.43	59.12	56.28
20181103-141344	11.32	9.06	56.42	59.13	56.29
20181103-141349	11.31	9.06	56.42	59.11	56.29
20181103-141354	11.31	9.07	56.43	59.11	56.29
20181103-141359	11.31	9.06	56.42	59.11	56.28
20181103-141404	11.34	9.06	56.42	59.10	56.29
20181103-141409	11.33	9.06	56.43	59.11	56.30
20181103-141414	11.34	9.07	56.42	59.12	56.29
20181103-141419	11.34	9.06	56.43	59.12	56.30
20181103-141424	11.34	9.07	56.42	59.12	56.30
20181103-141429	11.39	9.07	56.43	59.12	56.29
20181103-141434	11.38	9.07	56.43	59.12	56.29
20181103-141439	11.39	9.07	56.43	59.12	56.28
20181103-141444	11.40	9.07	56.42	59.12	56.29
20181103-141449	11.39	9.06	56.43	59.12	56.29
20181103-141454	11.39	9.07	56.42	59.12	56.28
20181103-141459	11.39	9.06	56.43	59.12	56.29
20181103-141504	11.39	9.07	56.43	59.12	56.29
20181103-141509	11.40	9.07	56.43	59.13	56.29
20181103-141514	11.39	9.07	56.42	59.12	56.28
20181103-141519	11.40	9.06	56.42	59.12	56.29
20181103-141524	11.39	9.06	56.43	59.12	56.29
20181103-141529	11.40	9.07	56.43	59.13	56.28
20181103-141534	11.40	9.08	56.43	59.11	56.28
20181103-141539	11.40	9.07	56.43	59.12	56.29
20181103-141544	11.39	9.06	56.42	59.12	56.29
20181103-141549	11.39	9.06	56.43	59.11	56.29
20181103-141554	11.39	9.07	56.43	59.12	56.29
20181103-141559	11.39	9.06	56.43	59.12	56.29
20181103-141604	11.40	9.07	56.42	59.12	56.29
20181103-141609	11.40	9.07	56.42	59.12	56.29
20181103-141614	11.40	9.06	56.42	59.12	56.29
20181103-141619	11.39	9.06	56.42	59.12	56.29
20181103-141624	11.40	9.06	56.43	59.12	56.29
20181103-141629	11.39	9.06	56.42	59.12	56.29
20181103-141634	11.39	9.06	56.42	59.12	56.29
20181103-141639	11.39	9.06	56.43	59.13	56.28
20181103-141644	11.39	9.06	56.42	59.13	56.29
20181103-141649	11.40	9.06	56.42	59.11	56.28
20181103-141654	11.42	9.06	56.42	59.11	56.29
20181103-141659	11.41	9.07	56.42	59.12	56.29
20181103-141704	11.40	9.07	56.43	59.12	56.30
20181103-141709	11.40	9.07	56.43	59.12	56.29
20181103-141714	11.40	9.07	56.42	59.11	56.29
20181103-141719	11.41	9.07	56.42	59.12	56.29
20181103-141724	11.40	9.07	56.42	59.12	56.29
20181103-141729	11.40	9.07	56.43	59.12	56.29
20181103-141734	11.39	9.07	56.42	59.12	56.29
20181103-141739	11.40	9.07	56.46	59.12	56.28
20181103-141744	11.40	9.07	56.44	59.12	56.29
20181103-141749	11.40	9.07	56.44	59.10	56.29
20181103-141754	11.40	9.07	56.44	59.11	56.29
20181103-141759	11.40	9.07	56.45	59.12	56.29
20181103-141804	11.40	9.06	56.45	59.12	56.30
20181103-141809	11.40	9.06	56.45	59.13	56.29
20181103-141814	11.40	9.06	56.45	59.12	56.30
20181103-141819	11.40	9.06	56.44	59.12	56.29
20181103-141824	11.40	9.06	56.44	59.12	56.29
20181103-141829	11.40	9.07	56.44	59.12	56.28
20181103-141834	11.39	9.06	56.43	59.12	56.29
20181103-141839	11.40	9.07	56.44	59.12	56.28
20181103-141844	11.39	9.06	56.44	59.12	56.29
20181103-141849	11.39	9.06	56.44	59.12	56.28
20181103-141854	11.40	9.06	56.44	59.12	56.28
20181103-141859	11.40	9.06	56.44	59.12	56.29
20181103-141904	11.41	9.07	56.44	59.12	56.29
20181103-141909	11.40	9.07	56.44	59.12	56.29
20181103-141914	11.40	9.07	56.45	59.12	56.29
20181103-141919	11.40	9.07	56.44	59.11	56.29
20181103-141924	11.40	9.07	56.44	59.12	56.29
20181103-141929	11.40	9.07	56.44	59.12	56.29
20181103-141934	11.40	9.06	56.44	59.12	56.29
20181103-141939	11.40	9.07	56.44	59.12	56.28
20181103-141944	11.41	9.06	56.42	59.12	56.28
20181103-141949	11.40	9.07	56.43	59.11	56.28
20181103-141954	11.40	9.07	56.42	59.12	56.29
20181103-141959	11.40	9.07	56.42	59.12	56.29
20181103-142004	11.40	9.07	56.42	59.12	56.29
20181103-142009	11.51	9.07	56.43	59.11	56.29
20181103-142014	11.52	9.06	56.42	59.11	56.30
20181103-142019	11.52	9.07	56.42	59.12	56.29
20181103-142024	11.52	9.07	56.42	59.12	56.29
20181103-142029	11.52	9.07	56.43	59.12	56.29
20181103-142034	11.52	9.06	56.43	59.12	56.29
20181103-142039	11.52	9.07	56.43	59.12	56.28
20181103-142044	11.51	9.06	56.42	59.12	56.29
20181103-142049	11.52	9.06	56.42	59.11	56.29
20181103-142054	11.51	9.07	56.43	59.12	56.29
20181103-142059	11.52	9.07	56.43	59.12	56.29
20181103-142104	11.52	9.07	56.43	59.12	56.30
20181103-142109	11.52	9.07	56.43	59.11	56.30
20181103-142114	11.51	9.07	56.44	59.12	56.30
20181103-142119	11.52	9.07	56.43	59.12	56.29
20181103-142124	11.52	9.06	56.43	59.11	56.30
20181103-142129	11.52	9.07	56.44	59.12	56.29
20181103-142134	11.52	9.07	56.43	59.11	56.30
20181103-142139	11.52	9.07	56.42	59.12	56.30
20181103-142144	11.51	9.06	56.42	59.12	56.29
20181103-142149	11.51	9.07	56.42	59.12	56.29
