TIME	LG1	AP2	MB1	MB2	MB3
20181103-141824	         0	         0	         5	        16	         9
20181103-141829	        11	         0	         8	         7	         5
20181103-141834	         1	         3	         6	         5	         5
20181103-141839	        13	         4	         5	         8	         9
20181103-141844	         1	         0	        12	        10	         9
20181103-141849	         8	         0	         5	        11	         4
20181103-141854	         0	         0	         8	        10	         8
20181103-141859	        10	         0	         5	         7	         8
20181103-141904	         0	         2	         8	         6	         5
20181103-141909	        10	         1	        11	        14	         8
20181103-141914	         2	         0	        19	        16	         9
20181103-141919	        11	         0	         5	         5	        17
20181103-141924	         0	         0	         5	        23	         7
20181103-141929	        10	         0	        10	         7	         5
20181103-141934	         0	         0	         8	         6	         8
20181103-141939	        15	         5	         5	         7	        12
20181103-141944	         1	         0	        11	        13	        10
20181103-141949	         8	         0	         5	        17	        12
20181103-141954	         0	         0	         7	         9	         7
20181103-141959	        11	         0	         5	         7	         6
20181103-142004	         0	         1	        10	         6	         6
20181103-142009	        13	         2	        11	        14	        16
20181103-142014	         8	         0	        25	        15	         9
20181103-142019	        10	         0	         5	         5	        13
20181103-142024	         0	         0	         8	        15	         9
20181103-142029	        12	         0	         5	         5	         5
20181103-142034	         0	         3	         8	        11	         5
20181103-142039	        23	         6	         7	         5	         9
20181103-142044	         1	         1	        16	        10	        11
20181103-142049	        11	         0	         5	         5	        12
20181103-142054	         0	         0	         7	        11	         8
20181103-142059	        12	         0	         5	         6	         5
20181103-142104	         0	         1	         8	         6	         8
20181103-142109	        54	         2	        11	        12	        18
20181103-142114	         1	         1	        17	        20	        10
20181103-142119	         8	         0	         5	         5	        13
20181103-142124	         0	         0	         7	        12	         8
20181103-142129	        14	         0	         5	         9	         5
20181103-142134	         0	         3	         8	         6	         7
20181103-142139	        19	         5	         5	         6	        19
20181103-142144	         5	         1	        14	        11	        12
20181103-142149	         9	         0	         6	         5	        12
20181103-142154	         0	         0	         5	        11	         8
20181103-142159	        10	         0	         5	        11	         6
20181103-142204	         0	         0	         8	         7	         6
20181103-142209	        11	         0	        11	        12	        17
20181103-142214	         1	         2	        25	        20	         9
20181103-142219	         8	         0	         9	         5	        13
20181103-142224	         0	         0	         5	         7	         8
20181103-142229	        11	         0	         5	         8	         5
20181103-142234	         0	         0	         5	         5	         7
20181103-142239	        18	         5	         8	         7	         8
20181103-142244	         1	         1	        13	        10	        14
20181103-142249	         8	         0	         8	         5	        12
20181103-142254	         0	         0	         6	         8	         9
20181103-142259	        11	         0	         5	        10	         7
20181103-142304	         0	         1	         5	         5	         5
20181103-142309	        10	         0	        15	        13	        20
20181103-142314	         1	         1	        19	        23	         7
20181103-142319	         8	         0	         8	         5	        13
20181103-142324	         0	         0	         5	        12	         8
20181103-142329	        12	         0	         6	         8	         6
20181103-142334	         0	         5	         5	         5	         6
20181103-142339	        16	         5	         8	         5	         8
20181103-142344	         2	         1	        13	        14	        11
20181103-142349	         8	         0	         5	         5	        10
20181103-142354	         0	         0	         5	        12	         8
20181103-142359	        12	         0	         5	         5	         7
20181103-142404	         0	         1	         7	         5	         5
20181103-142409	         9	         0	        14	        13	        13
20181103-142414	         1	         1	        25	        22	         7
20181103-142419	         8	         0	         7	         5	        12
20181103-142424	         0	         0	         5	        10	         8
20181103-142429	        12	         0	         5	         6	         7
20181103-142434	         0	         3	         5	         5	         5
20181103-142439	        14	         4	        10	         7	         8
20181103-142444	         1	         2	        14	        17	        10
20181103-142449	         8	         0	         5	        12	        12
20181103-142454	         0	         0	         5	        11	         8
20181103-142459	        12	         0	         5	         5	         8
20181103-142504	         0	         0	         5	         6	         5
20181103-142509	         9	         0	        15	        15	        20
20181103-142514	         1	         1	        18	        17	         7
20181103-142519	        10	         0	         5	         5	        12
20181103-142524	         0	         0	         5	        22	         7
20181103-142529	        11	         0	         5	         6	         7
20181103-142534	         0	         0	         5	         7	         5
20181103-142539	        17	         5	         8	         7	         8
20181103-142544	         1	         1	        14	        18	         9
20181103-142549	         8	         0	         5	         8	        11
20181103-142554	         0	         0	         5	        14	         8
20181103-142559	        12	         0	         5	         5	         6
20181103-142604	         0	         0	         5	         7	         5
20181103-142609	        12	         0	        14	        13	        11
20181103-142614	         2	         1	        31	        16	         9
20181103-142619	         8	         0	         5	         5	        12
20181103-142624	         0	         0	         5	        10	         9
20181103-142629	        11	         0	         5	         5	         6
20181103-142634	         0	         0	         5	         7	         5
20181103-142639	        15	         5	         9	         6	        15
20181103-142644	         1	         1	        23	        18	        10
20181103-142649	         8	         0	         5	         7	        12
20181103-142654	         0	         0	         6	        21	        10
20181103-142659	        12	         0	         5	         5	         6
20181103-142704	         0	         0	         5	         7	         5
20181103-142709	        11	         0	        14	        12	        21
20181103-142714	         1	         2	        17	        18	         9
20181103-142719	         8	         0	         5	         7	        12
20181103-142724	         0	         0	         5	        18	         9
20181103-142729	        12	         0	         6	         5	         6
20181103-142734	         0	         0	         5	         7	         5
20181103-142739	        18	         5	         8	         5	         7
20181103-142744	         1	         1	        15	        18	        11
20181103-142749	         8	         7	         5	         6	        11
20181103-142754	         0	         0	         5	        18	         8
20181103-142759	        11	         3	         5	         5	         5
20181103-142804	         0	         5	         8	         9	         5
20181103-142809	        10	         2	        16	        12	         5
20181103-142814	         5	         1	        20	        16	         9
20181103-142819	         8	      7271	         5	         6	        10
20181103-142824	         0	         3	         5	         9	        11
20181103-142829	        11	        18	         5	         5	         5
20181103-142834	         0	        12	        11	         7	         5
20181103-142839	        16	         0	       147	         5	        10
20181103-142844	         1	     13122	        18	        17	        10
20181103-142849	         8	     12832	        10	         5	         8
20181103-142854	         0	     12935	         5	        13	         8
20181103-142859	        12	     12748	         7	         5	         6
20181103-142904	         0	        10	        10	         9	         5
20181103-142909	         9	         0	        14	        12	        17
20181103-142914	         1	         4	        45	         9	         9
20181103-142919	         8	     13056	        18	        12	        18
20181103-142924	         0	         0	         6	        17	         7
20181103-142929	        12	         3	         5	         5	         5
20181103-142934	         0	         5	         5	         5	         6
20181103-142939	        13	         4	        10	         6	         6
20181103-142944	         1	         4	        13	        12	        12
20181103-142949	         8	         0	        11	        17	         7
20181103-142954	         0	         0	         6	        12	         7
20181103-142959	         9	         0	         5	         7	         5
20181103-143004	         3	         0	         5	         5	         5
20181103-143009	         9	         0	        14	        12	        15
20181103-143014	         7	         4	        19	        14	         9
20181103-143019	         8	         0	        10	        11	        21
20181103-143024	         0	         0	        10	         7	         9
20181103-143029	         8	         0	         5	         7	         5
20181103-143034	         2	     12187	         5	         5	         5
20181103-143039	        12	     12194	         9	        10	         5
20181103-143044	         2	         3	         9	         9	        15
20181103-143049	         8	         0	        10	         9	         6
20181103-143054	         0	     12547	         5	        18	         8
20181103-143059	        10	         0	         6	         9	         5
20181103-143104	         2	         1	         5	         5	         5
20181103-143109	        17	         0	        14	        12	        17
20181103-143114	         6	         2	        14	        13	        14
20181103-143119	         8	     13062	         9	        13	        20
20181103-143124	         0	         0	         7	         6	         7
20181103-143129	         9	         0	         5	         7	         5
20181103-143134	         2	         0	         7	         8	         5
20181103-143139	         9	     13248	         8	         6	        13
20181103-143144	         1	         3	         8	         7	        11
20181103-143149	         8	         0	         9	        12	         9
20181103-143154	         0	         0	         5	        13	         7
20181103-143159	         8	         0	         5	         7	         5
20181103-143204	         4	         1	         5	         5	         5
20181103-143209	        15	         0	        17	        16	         8
20181103-143214	         6	         2	        15	        12	        12
20181103-143219	         8	         0	        11	        13	        16
20181103-143224	         0	         0	         5	         6	         9
20181103-143229	         8	         0	         5	         8	         5
20181103-143234	         4	         0	         5	         5	         5
20181103-143239	        12	         5	         9	         5	         5
20181103-143244	         2	         3	        12	        10	        13
20181103-143249	         9	         0	         9	        10	         6
