TIME	CPU	WCPU	IO	MEM
20181103-142054	  1	  0	         8	56.29
20181103-142059	  1	  0	         5	56.29
20181103-142104	  1	  0	         8	56.30
20181103-142109	  1	  0	        18	56.30
20181103-142114	  1	  0	        10	56.30
20181103-142119	  1	  0	        13	56.29
20181103-142124	  0	  0	         8	56.30
20181103-142129	  1	  0	         5	56.29
20181103-142134	  1	  0	         7	56.30
20181103-142139	  0	  0	        19	56.30
20181103-142144	  2	  0	        12	56.29
20181103-142149	  1	  0	        12	56.29
20181103-142154	  1	  0	         8	56.29
20181103-142159	  0	  0	         6	56.29
20181103-142204	  1	  0	         6	56.28
20181103-142209	  0	  0	        17	56.29
20181103-142214	  0	  0	         9	56.29
20181103-142219	  1	  0	        13	56.28
20181103-142224	  1	  0	         8	56.28
20181103-142229	  0	  0	         5	56.29
20181103-142234	  1	  0	         7	56.29
20181103-142239	  0	  0	         8	56.29
20181103-142244	  2	  0	        14	56.29
20181103-142249	  1	  0	        12	56.29
20181103-142254	  0	  0	         9	56.29
20181103-142259	  0	  0	         7	56.30
20181103-142304	  1	  0	         5	56.29
20181103-142309	  0	  0	        20	56.29
20181103-142314	  1	  0	         7	56.30
20181103-142319	  1	  0	        13	56.30
20181103-142324	  1	  0	         8	56.30
20181103-142329	  0	  0	         6	56.29
20181103-142334	  0	  0	         6	56.29
20181103-142339	  0	  0	         8	56.29
20181103-142344	  2	  0	        11	56.30
20181103-142349	  1	  0	        10	56.30
20181103-142354	  0	  0	         8	56.30
20181103-142359	  1	  0	         7	56.29
20181103-142404	  0	  0	         5	56.30
20181103-142409	  0	  0	        13	56.30
20181103-142414	  1	  0	         7	56.29
20181103-142419	  1	  0	        12	56.28
20181103-142424	  1	  0	         8	56.30
20181103-142429	  0	  0	         7	56.29
20181103-142434	  1	  0	         5	56.30
20181103-142439	  1	  0	         8	56.29
20181103-142444	  2	  0	        10	56.30
20181103-142449	  1	  0	        12	56.29
20181103-142454	  0	  0	         8	56.29
20181103-142459	  1	  0	         8	56.30
20181103-142504	  1	  0	         5	56.30
20181103-142509	  0	  0	        20	56.30
20181103-142514	  0	  0	         7	56.29
20181103-142519	  1	  0	        12	56.29
20181103-142524	  1	  0	         7	56.29
20181103-142529	  0	  0	         7	56.29
20181103-142534	  1	  0	         5	56.30
20181103-142539	  0	  0	         8	56.28
20181103-142544	  2	  0	         9	56.29
20181103-142549	  1	  0	        11	56.29
20181103-142554	  1	  0	         8	56.30
20181103-142559	  1	  0	         6	56.29
20181103-142604	  1	  0	         5	56.30
20181103-142609	  1	  0	        11	56.30
20181103-142614	  0	  0	         9	56.30
20181103-142619	  1	  0	        12	56.29
20181103-142624	  1	  0	         9	56.29
20181103-142629	  1	  0	         6	56.29
20181103-142634	  1	  0	         5	56.30
20181103-142639	  1	  0	        15	56.29
20181103-142644	  2	  0	        10	56.29
20181103-142649	  1	  0	        12	56.29
20181103-142654	  1	  0	        10	56.30
20181103-142659	  1	  0	         6	56.30
20181103-142704	  0	  0	         5	56.29
20181103-142709	  0	  0	        21	56.30
20181103-142714	  1	  0	         9	56.30
20181103-142719	  1	  0	        12	56.29
20181103-142724	  1	  0	         9	56.30
20181103-142729	  0	  0	         6	56.29
